job_id,job_title,company_name,location,workplace_type,employment_type,industry,job_description,seniority_level,experience_required,skills,salary_range
4231139544,Data Scientist,Dexian India,India (Remote),Remote,Full-time,,"About the job Title : Data Scientist Work Model : Remote Work Shift: 10:30 AM - 7:30 PM IST Work Experience: 2-3 years Notice period: Immediate Joiner AWS (Lambda, Glue, RCS, ECS, Data Pipeline, EMR), Databricks, Spark, PySpark, Python, SQL Python for Data Science (XGBoost, SciKit Learn, NLTK, SciPy, Shap, Prophet) Develop promotion and pricing algorithms with client team. Maintain optimization applications by detecting data drift, model retraining, enhancements. Domain experience: Retail, Pricing, and Promotions. Looking for Forecasting, prophet, Multi arm bandit, Reinforcement learning, etc ML skills. Looking more at forecasting with FB Prophet, bandits, and ML development. Traditional DS with more experience in recommender systems and forecasting will be a better fit.",,,"Python, SQL",
4250882472,Data Science,Network18 Media & Investments Limited,"Gurugram, Haryana, India (On-site)",On-site,Full-time,,"About the job Be a part of India’s largest and most admired news network! Network18 is India's most diversified Media Company in the fast growing Media market. The Company has a strong Heritage and we possess a strong presence in Magazines, Television and Internet domains. Our brands like CNBC, Forbes and Moneycontrol are market leaders in their respective segments. The Company has over 7,000 employees across all major cities in India and has been consistently managed to stay ahead of the growth curve of the industry. Network 18 brings together employees from varied backgrounds under one roof united by the hunger to create immersive content and ideas. We take pride in our people, who we believe are the key to realizing the organization’s potential. We continually strive to enable our employees to realize their own goals, by providing opportunities to learn, share and grow. Role Overview: We are seeking a passionate and skilled Data Scientist with over a year of experience to join our dynamic team. You will be instrumental in developing and deploying machine learning models, building robust data pipelines, and translating complex data into actionable insights. This role offers the opportunity to work on cutting-edge projects involving NLP, Generative AI, data automation, and cloud technologies to drive business value. Key Responsibilities: Design, develop, and deploy machine learning models, with a strong focus on NLP (including advanced techniques and Generative AI) and other AI applications. Build, maintain, and optimize ETL pipelines for automated data ingestion, transformation, and standardization from various sources Work extensively with SQL for data extraction, manipulation, and analysis in environments like BigQuery. Develop solutions using Python and relevant data science/ML libraries (Pandas, NumPy, Hugging Face Transformers, etc.). Utilize Google Cloud Platform (GCP) services for data storage, processing, and model deployment. Create and maintain interactive dashboards and reporting tools (e.g., Power BI) to present insights to stakeholders. Apply basic Docker concepts for containerization and deployment of applications. Collaborate with cross-functional teams to understand business requirements and deliver data-driven solutions. Stay abreast of the latest advancements in AI/ML and NLP best practices. Required Qualifications & Skills: 2 to 5 years of hands-on experience as a Data Scientist or in a similar role. Solid understanding of machine learning fundamentals, algorithms, and best practices. Proficiency in Python and relevant data science libraries. Good SQL skills for complex querying and data manipulation. Demonstrable experience with Natural Language Processing (NLP) techniques, including advanced models (e.g., transformers) and familiarity with Generative AI concepts and applications. Excellent problem-solving and analytical skills. Strong communication and collaboration skills. Preferred Qualifications & Skills: Familiarity and hands-on experience with Google Cloud Platform (GCP) services, especially BigQuery, Cloud Functions, and Vertex AI. Basic understanding of Docker and containerization for deploying applications. Experience with dashboarding tools like Power BI and building web applications with Streamlit. Experience with web scraping tools and techniques (e.g., BeautifulSoup, Scrapy, Selenium). Knowledge of data warehousing concepts and schema design. Experience in designing and building ETL pipelines. Disclaimer: Please note Network18 and related group companies do not use the services of vendors or agents for recruitment. Please beware of such agents or vendors providing assistance. Network18 will not be responsible for any losses incurred. “We correspond only from our official email address”",,,"Python, SQL, Power BI, Machine Learning",
4252518100,Business Analyst Intern,WebBoost Solutions by UM,India (Remote),Remote,Internship,,"About the job Business Analyst Intern (Paid) Company: WebBoost Solutions by UM Location: Remote Duration: 3 months Opportunity: Full-time based on performance, with a Certificate of Internship Application Deadline: 18th June 2025 About WebBoost Solutions by UM WebBoost Solutions by UM provides students and graduates with hands-on experience to enhance their professional growth in business analysis . Responsibilities ✅ Collect, clean, and analyze data sets. ✅ Identify trends and patterns to generate insights. ✅ Develop dashboards, reports, and presentations to support decision-making. ✅ Collaborate with teams to provide data-driven insights for business strategies. Requirements 🎓 Enrolled in or recent graduate of a relevant program (Business, Finance, Economics, Data Science, or related field). 📊 Strong analytical skills and attention to detail . 💻 Familiarity with tools like Excel, SQL, or Python (preferred). 🤝 Excellent communication and teamwork abilities . Benefits 💰 Stipend: ₹7,500 - ₹15,000 (Performance-Based) (Paid) ✔ Real-world business analysis experience . ✔ Certificate of Internship & Letter of Recommendation . ✔ Build your portfolio with impactful projects . Equal Opportunity WebBoost Solutions by UM is an equal opportunity employer , welcoming candidates from all backgrounds .",,,"Python, SQL, Excel","₹7,500 - ₹15,000"
4252500676,Financial Analytics Intern,SkillFied Mentor,India (Remote),Remote,Internship,,"About the job 📊 Financial Analytics Intern (Remote) 🌐 🔍 Are you fascinated by finance and data? Eager to gain hands-on experience analyzing financial data and uncovering insights — all from the comfort of your home? This internship is the perfect start! 📍 Location: Remote / Virtual 💼 Job Type: Internship (Unpaid) 🕒 Schedule: Flexible working hours 🌟 About the Role: We’re seeking a detail-oriented and motivated Financial Analytics Intern to join our remote team! This internship offers an excellent opportunity for students or recent graduates looking to build practical skills in financial data analysis, reporting, and forecasting. You’ll work closely with the finance team to analyze financial trends, prepare reports, and support data-driven decision-making — all in a flexible, virtual environment. 🚀 What You’ll Gain: ✅ Work Remotely – 100% virtual setup 🌍 ✅ Flexible Hours – Manage your own schedule ⏰ ✅ Real Experience – Analyze financial data and support forecasting 📈 ✅ Skill Development – Enhance your finance and analytics toolkit 💼 ✅ Collaborative Environment – Learn alongside experienced professionals 👥 👀 Ideal Candidate: 🎓 Currently studying or recently graduated in Finance, Economics, Accounting, or related fields 📊 Passionate about financial data and analytics 🧠 Strong analytical thinking and attention to detail 🛠️ Comfortable with Excel, Google Sheets; familiarity with financial software or SQL is a plus 💬 Self-motivated and able to work independently in a remote setup 📅 Apply By : June 20th Ready to launch your career in financial analytics and build valuable skills? We’d love to hear from you! Let’s analyze financial data and drive smart business decisions — together! 💡📊💵",,,"SQL, Excel, Data Analysis",
4251111811,Data Scientist,Uber,"Hyderabad, Telangana, India (On-site)",On-site,Full-time,,"About the job About the Role At Uber, we empower people to earn and transact on the platform and to do this across the globe for millions of customers, we need to be compliant with local regulations and manage the risk that is associated with fraud losses. The Risk Intelligence team is responsible for keeping the platform safe from fraud losses while minimizing friction to legitimate customers. This team drives scalable solutions to address latest modus operandi driving losses while ensuring frictionless experience for legitimate users. We aim to maintain losses below the target and create magical customer experiences by leveraging data and technology to capture insights, identify opportunities, and ultimately prioritize product and engineering initiatives .Does this sound exciting to you? Are you a tested teammate, strategic problem solver, and executor? We want to hear from you. What the Candidate Will Need / Bonus Points ---- What the Candidate Will Do ---- Own the loss metrics for the assigned line of business/Region and design logics and scalable solutions to mitigate fraud causing modus operandi Own new risk solution and related experimentation including plan creation, roll-out, and monitoring Be an invaluable partner to cross-functional teams such as engineering, product management, various data teams to deploy data quality across critical pipelines and to set up processes to triage data issues Develop and track metrics and reporting functions to measure and monitor risk products on our platform Effectively and proactively communicate insights and drive projects to drive towards team goals Proactively seek out opportunities to build new solutions to tackle Risk ---- Basic Qualifications ---- SQL mastery. Write efficient and complex code in SQL Experience in Python/R and experimentation, A/B testing, and statistical modelling Proven ability to handle and visualise large datasets, explore and utilize raw data feeds A well-organized, structured approach to problem-solving Strong sense of ownership, accountability, and entrepreneurial spirit Great communicator, problem-solver & confident in decision making Enthusiastic, self-starting and thrives in changing, agile environments Liaise with Product and engineering counterparts to launch and impact new products ---- Preferred Qualifications ---- Experience in Risk in a Product / Tech company Love of data - you just go get the data you need and turn it into an insightful story. Independent & autonomous, while still a strong teammate",associate,,"Python, SQL, R",
4251110091,Data Analyst Trainee,MedTourEasy,India (Remote),Remote,Internship,,"About the job We are looking for Data Analytics trainees for our upcoming traineeship program. Data Analytics Trainee Responsibilities: Week 1 & 2: Training Modules – Candidates will be completing the learning modules assigned. Week 3: Live Project – Candidates will be working on the live project assigned to them by the company. Week 4: Project Report – Candidates will be preparing a project report and submit. Data Analytics Trainee Requirements: Bachelor’s degree or pursuing. Proficiency with computers, especially MS Office. High level of accountability and motivation. Strong Interpersonal, time and project management, presentation, leadership, and communication skills. Creativity and ability to delegate responsibilities. Receptiveness to feedback and adaptability. Willingness to meet deadlines.",,,,
4154732710,Data Scientist,Lrnr,"Bengaluru, Karnataka, India",,₹1.4M/yr - ₹2M/yr,,"About the job This job is sourced from a job board. Learn More We are a US based startup on a mission to personalize learning for everyone and also make it affordable. We are currently building the most advanced adaptive engine that applies learning methodologies based on the cognition and retention of each student. Our product vision is to enable students improve their learning outcomes in the shortest possible time to enable them to gain mastery, better grades and ultimately have greater opportunities in their desired field. Our solutions are currently being used at various educational institutions to help students overcome hurdles during their learning process. If you are passionate about our mission, come and talk to us. We provide an open collaborative environment, a great team and a fun place to work along with excellent benefits and attractive stock options. Skills:- R, Java, C++, Algorithms, Database Design and C",,,R,
4237412568,Data Scientist 1,PayPal,"Bengaluru, Karnataka, India",,Full-time,,"About the job The Company PayPal has been revolutionizing commerce globally for more than 25 years. Creating innovative experiences that make moving money, selling, and shopping simple, personalized, and secure, PayPal empowers consumers and businesses in approximately 200 markets to join and thrive in the global economy. We operate a global, two-sided network at scale that connects hundreds of millions of merchants and consumers. We help merchants and consumers connect, transact, and complete payments, whether they are online or in person. PayPal is more than a connection to third-party payment networks. We provide proprietary payment solutions accepted by merchants that enable the completion of payments on our platform on behalf of our customers. We offer our customers the flexibility to use their accounts to purchase and receive payments for goods and services, as well as the ability to transfer and withdraw funds. We enable consumers to exchange funds more safely with merchants using a variety of funding sources, which may include a bank account, a PayPal or Venmo account balance, PayPal and Venmo branded credit products, a credit card, a debit card, certain cryptocurrencies, or other stored value products such as gift cards, and eligible credit card rewards. Our PayPal, Venmo, and Xoom products also make it safer and simpler for friends and family to transfer funds to each other. We offer merchants an end-to-end payments solution that provides authorization and settlement capabilities, as well as instant access to funds and payouts. We also help merchants connect with their customers, process exchanges and returns, and manage risk. We enable consumers to engage in cross-border shopping and merchants to extend their global reach while reducing the complexity and friction involved in enabling cross-border trade. Our beliefs are the foundation for how we conduct business every day. We live each day guided by our core values of Inclusion, Innovation, Collaboration, and Wellness. Together, our values ensure that we work together as one global team with our customers at the center of everything we do – and they push us to ensure we take care of ourselves, each other, and our communities. Job Description Summary: What you need to know about the role - Decision scientists are highly motivated team players with strong analytical skills who specialize in creating, driving and executing initiatives to mitigate fraud on PayPal’s platform and improve the experience for PayPal’s hundreds of millions of customers, while guaranteeing compliance with regulations. Meet our Team Decision scientists in the Authentication Risk team are problem solvers suited to approach varied challenges in complex big data environments. Our core goals are to enable seamless and delightful authentication experiences to our customers, while preventing threat actors from accessing customers’ financial instruments and personal information, and adhering with regional authentication regulations. As part of our day-to-day job, we are collaborating with a wide variety of partners: product owners, data scientists, security experts, legal consults, and engineers, to bring our analytical insights to life, impacting the experience and security of millions of customers around the globe. Job Description: Your way to impact Decision scientists deeply understand PayPal’s business objectives, as their impact on PayPal’s top and bottom lines is immense. As a decision scientist, you will analyse key performance indicators and track financial and operational metrics with the aim of adapting PayPal’s advanced proprietary fraud prevention and experience mechanisms and enabling growth. Your day to day In your role as a Decision Scientist, you will: Track and measure performance against KPIs and goals to identify and mitigate fraud risk and enable growth Develop and own data-driven risk decision strategies to support PayPal’s risk and business goals Utilize bottom-up, story based, innovative techniques to apply analytical know how onto PayPal’s risk strategies Plan, drive and execute projects from start to finish, with partners across the company, to develop cutting edge, scalable and safe solutions Work with product and platform teams to develop cutting edge, scalable and safe products, to enhance the experience for our global customers Grow ongoing communication with partners across the company and share updates with senior leaders effectively and while translating complex problems into simpler terms What Do You Need To Bring - Bachelor’s Degree (or above) in one of the following: economics, finance, engineering, exact sciences, etc. 2+ years of hands-on experience in relevant positions, e.g.: decision scientist, data analyst, data scientist, product manager, background in identifying trends and patterns / risk management / army intelligence units Technical orientation; experience in SQL / R / Python / other programming language – a must Excellent English verbal and written communication skills Proven analytical and problem solving skills, business mindset Quick-thinker, fast learner, self-starter We know the confidence gap and imposter syndrome can get in the way of meeting spectacular candidates. Please don't hesitate to apply. For the majority of employees, PayPal's balanced hybrid work model offers 3 days in the office for effective in-person collaboration and 2 days at your choice of either the PayPal office or your home workspace, ensuring that you equally have the benefits and conveniences of both locations. Our Benefits: At PayPal, we’re committed to building an equitable and inclusive global economy. And we can’t do this without our most important asset—you. That’s why we offer benefits to help you thrive in every stage of life. We champion your financial, physical, and mental health by offering valuable benefits and resources to help you care for the whole you. We have great benefits including a flexible work environment, employee shares options, health and life insurance and more. To learn more about our benefits please visit https://www.paypalbenefits.com Who We Are: To learn more about our culture and community visit https://about.pypl.com/who-we-are/default.aspx Commitment to Diversity and Inclusion PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state, or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at paypalglobaltalentacquisition@paypal.com. Belonging at PayPal: Our employees are central to advancing our mission, and we strive to create an environment where everyone can do their best work with a sense of purpose and belonging. Belonging at PayPal means creating a workplace with a sense of acceptance and security where all employees feel included and valued. We are proud to have a diverse workforce reflective of the merchants, consumers, and communities that we serve, and we continue to take tangible actions to cultivate inclusivity and belonging at PayPal. Any general requests for consideration of your skills, please Join our Talent Community. We know the confidence gap and imposter syndrome can get in the way of meeting spectacular candidates. Please don’t hesitate to apply. REQ ID R0126465",manager,,"Python, SQL, R",
4251678202,Remote Data Scientist - 17843,Turing,"Gurugram, Haryana, India (Remote)",Save Remote Data Scientist - 17843   at Turing,Contract,,"About the job A U.S.-based company specializing in AI-driven solutions is hiring Data Scientists to collaborate on cutting-edge commercial and research AI projects. This opportunity is ideal for professionals passionate about innovation and pushing the boundaries of AI technology. In this role, you will conduct in-depth peer code reviews, provide constructive feedback, and work closely with researchers and stakeholders to ensure alignment with project objectives. Job Responsibilities: Develop and optimize Python-based data science solutions using public datasets. Conduct peer code reviews, ensuring best practices and optimization techniques are followed. Work closely with researchers and stakeholders to align solutions with company goals. Create well-documented Python code using Jupyter notebooks. Job Requirements: Bachelor’s/Master’s degree in Engineering, Computer Science, or equivalent experience. Knowledge of Python programming for data analysis. Strong understanding of data science methodologies and analysis techniques. Fluent in spoken and written English. A minimum 5-hour work overlap with PST/PT is required. Strong problem-solving and analytical skills. Job Benefits: Work with global experts in AI and data science. This is a contractual remote work opportunity without traditional job constraints. Competitive global-standard salary in USD. Contribute to cutting-edge projects shaping the future of AI. Selection Process: Shortlisted developers may be asked to complete an assessment. If you clear the assessment, you will be contacted for contract assignments with expected start dates, durations, and end dates. Some contract assignments require fixed weekly hours, averaging 20/30/40 hours per week for the duration of the contract assignment.",,,"Python, Data Analysis",
4250541432,Data Scientist,Celebal Technologies,"Navi Mumbai, Maharashtra, India (On-site)",On-site,Full-time,,"About the job Job Summary: We are looking for a highly skilled Data Scientist with deep expertise in time series forecasting, particularly in demand forecasting and customer lifecycle analytics (CLV). The ideal candidate will be proficient in Python or PySpark, have hands-on experience with tools like Prophet and ARIMA, and be comfortable working in Databricks environments. Familiarity with classic ML models and optimization techniques is a plus. Key Responsibilities • Develop, deploy, and maintain time series forecasting models (Prophet, ARIMA, etc.) for demand forecasting and customer behavior modeling. • Design and implement Customer Lifetime Value (CLV) models to drive customer retention and engagement strategies. • Process and analyze large datasets using PySpark or Python (Pandas). • Partner with cross-functional teams to identify business needs and translate them into data science solutions. • Leverage classic ML techniques (classification, regression) and boosting algorithms (e.g., XGBoost, LightGBM) to support broader analytics use cases. • Use Databricks for collaborative development, data pipelines, and model orchestration. • Apply optimization techniques where relevant to improve forecast accuracy and business decision-making. • Present actionable insights and communicate model results effectively to technical and non-technical stakeholders. Required Qualifications • Strong experience in Time Series Forecasting, with hands-on knowledge of Prophet, ARIMA, or equivalent – Mandatory. • Proven track record in Demand Forecasting – Highly Preferred. • Experience in modeling Customer Lifecycle Value (CLV) or similar customer analytics use cases – Highly Preferred. • Proficiency in Python (Pandas) or PySpark – Mandatory. • Experience with Databricks – Mandatory. • Solid foundation in statistics, predictive modeling, and machine learning.",,,"Python, Machine Learning",
