job_id,job_title,company_name,location,workplace_type,employment_type,industry,job_description,seniority_level,experience_required,skills,salary_range
4251747116,Business Analyst Trainer,Arbor Academy,"Pune, Maharashtra, India (Remote)",Remote,Full-time,,"About the job Company Description We’re hiring a Business Analyst Trainer to equip students with real-world skills in business process mapping, requirements gathering, and documentation. Ideal for someone who loves mentoring and simplifying concepts. Roles & Responsibilities Conduct training on Business Analyst tools, documentation, and techniques. Teach modules like BRD, FRD, Use Cases, and Flowcharts. Include real-time projects and industry scenarios. Provide practical assignments and feedback sessions. Assist with resume building and interview preparation. Requirements 6–10 years of industry or teaching experience as a Business Analyst. Knowledge of JIRA, Confluence, Agile, and SDLC. Effective communication and delivery skills. Preferred Qualities Passion for teaching and mentoring. Ability to simplify complex topics. Comfortable with live coding and interactive teaching. To Apply: Send your CV to chaitanya21@arboracademy.in",,,,
4252990882,Business Analyst Intern,SkillFied Mentor,India (Remote),Remote,Internship,,"About the job 📈 Business Analyst Intern (Remote) 🌐 🔍 Are you a problem-solver who loves turning data and insights into actionable business strategies? Want to kickstart your career in business analysis — all from the comfort of your home? This opportunity is for you! 📍 Location: Virtual / Remote 💼 Type: Internship (Unpaid) 🕒 Duration & Working Hours: Flexible – Set your own schedule! 🌟 About the Role: We’re looking for a curious and driven Business Analyst Intern to join our remote team! This internship is perfect for students, recent graduates, or anyone eager to learn the ropes of business analysis in a hands-on, real-world setting. You’ll work closely with team members to analyze business processes, identify improvement opportunities, and contribute to strategic decisions — all while enjoying the flexibility of remote work. 🚀 What You’ll Gain: ✅ 100% Remote – Work from anywhere 🏡 ✅ Flexible Hours – Manage your time your way ⏰ ✅ Practical Experience – Work on real business challenges 💼 ✅ Resume Boost – Stand out with valuable business skills 📈 ✅ Team Support – Learn from a collaborative, experienced team 👥 👀 Who We're Looking For: 🎓 Students, recent graduates, or aspiring business analysts 📊 Interested in business strategy, data, and process improvement 🧠 Strong analytical thinking and problem-solving mindset 🖥️ Familiar with Excel, Google Sheets, or BI tools (a plus!) 💬 Great communication skills and the ability to work independently 📅 Apply Before: 2 5th June If you're ready to take the first step in your business analyst career, we’d love to hear from you!",,,Excel,
4248192060,Guidewire Business Analyst,"Delta System & Software, Inc.","Hyderabad, Telangana, India (On-site)",On-site,Full-time,,"About the job Job Title: Guidewire Digital BA: Primary skills : #Guidewire Domain : Property & Casualty Experience Location : Hyderabad/Pune/Coimbatore/Chennai Mode of work : Work from the Office Experience : 3-6 Years Responsibilities Has 4+ years of experience as a business analyst in US property and casualty insurance domain and GuideWire (GW) Digital and GW Insurance Suite products. Has a thorough understanding of ISO/NCCI/Bureau and Commercial products. Has excellent verbal and written communication skills. Has good understanding of personal or commercial line policies. Is an independent contributor. A good team player Is required to work with onsite counter-part as well as direct customer on BA activities and deliverables. Will provide pre-construction walkthrough to development and QA teams. Will attend post-construction walkthroughs to ensure the developed feature is in line with requirements. Will own BA deliverables The must-have requirements are: A successful candidate will have at least 3 years of experience in GW Digital and GW Insurance Suite products. Has worked on GW Digital and GW PC or other COTS implementation project for personal or commercial lines as a business analyst. Has worked on at least 3 of the following areas during policy admin system implementation – UI, UW issues, Rating, Forms, Product Model. Has good functional understanding of GW OOTB products. Having BC and CC knowledge is an added advantage",,,,
4252397938,Remote Business Analyst - 20929,Turing,"Chennai, Tamil Nadu, India (Remote)",Save Remote Business Analyst - 20929   at Turing,Contract,,"About the job A leading US-based company is looking for candidates with strong analytical and English comprehension skills. The ideal candidate should have the ability to read, summarize, and break down large content into smaller logical blocks, conduct research online, validate claims made in the content through online research, and work with the LLM (Large Language Models) to solve puzzles! Your role is critical in helping fine-tune and improve large language models (like gpt), and will make you an expert on how to leverage AI to be a better analyst. This is your chance to future-proof your career in an AI-first world! What Does Day-to-day Look Like : Your role involves analyzing and creating scenarios to improve LLM models. You'll provide correct answers and explanations to help models learn from their mistakes. Here are a few examples: Based on a given distribution of sales by month across locations, could you analyze which location has grown the most? (Hint: what time period should we look at? should we account for sudden variability at the beginning?) In a small town, there are four distinct neighborhoods: Oak, Pine, Maple, and Elm. A postman is assigned to deliver mail and can only deliver to two neighborhoods in one day, with certain rules (e.g. Oak is always visited before Pine). If he delivers to Oak and Elm on the first day, which neighborhoods does the carrier deliver to on the second day? Note: No other prior specialized domain experience is needed. Requirements : English Proficiency: High level of reading and writing comprehension in English. Analytical Skills: Good research and analytical skills. Feedback Skills: Ability to provide constructive feedback and detailed annotations. Creative Thinking: Creative and lateral thinking abilities. Independence: Self-motivated and able to work independently in a remote setting. Commitment: Available for up to 40 hours/week during US business hours. Technical Setup: Desktop/Laptop set up with a good internet connection. Preferred Qualifications : Bachelor's degree in Engineering, Literature, Journalism, Communications, Arts, Statistics, or related field, or equivalent experience in these areas. Professional writing experience in roles such as business analyst, research analyst, copywriter, journalist, technical writer, editor, or translator. Proficiency in Excel and Google Suite. Benefits : Competitive compensation based on experience and expertise. This is a contractual role with flexible working hours and remote work environment. Opportunity to work on cutting-edge AI projects with leading LLM companies. Potential for contract extension based on performance and project needs. Application Process : Shortlisted analysts may be asked to complete an assessment. If you clear the assessment, you will be contacted for contract assignments with expected start dates, durations, and end dates. Some contract assignments require fixed weekly hours, averaging 20/30/40 hours per week for the duration of the contract assignment.",,,Excel,
4250886293,CCaaS Business Analyst-Senior Associate,PwC Acceleration Centers in India,"Bengaluru, Karnataka, India",,Full-time,,"About the job A career within Data and Analytics services will provide you with the opportunity to help organisations uncover enterprise insights and drive business results using smarter data analytics. We focus on a collection of organisational technology capabilities, including business intelligence, data management, and data assurance that help our clients drive innovation, growth, and change within their organisations in order to keep up with the changing nature of customers and technology. We make impactful decisions by mixing mind and machine to leverage data, understand and navigate risk, and help our clients gain a competitive edge. As part of our Analytics and Insights Consumption team, you’ll analyze data to drive useful insights for clients to address core business issues or to drive strategic outcomes. You'll use visualization, statistical and analytics models, AI/ML techniques, Modelops and other techniques to develop these insights. Years of Experience: Candidates with 4+ years of hands on experience Must Have Internal & External stakeholder management Familiarity with the CCaaS domain, In-depth functional knowledge of sell-service (IVR, Chat Bots) , omni channel & agent desktop applications) of CCaaS platforms like MS DCCP, Amazon Connect , NICECXOne, , Genesys Cloud , Cisco Webex CC, Cisco HCS, UCCE/PCCE Governance & communication skills Deeper techno functional CCaaS expertise for the platforms MS DCCP, Amazon Connect, Genesys Cloud/NICE CX One. Analyze existing business processes and identify opportunities for improvement through technology. Translate business requirements into technical specifications for development teams. Create process maps, use cases, and user stories to illustrate requirements and workflows. Facilitate workshops and meetings with cross-functional teams to ensure alignment on project goals. Assist in the testing and validation of cloud contact center solutions, ensuring they meet business needs. Monitor project progress and provide regular updates to stakeholders. Stay current with industry trends and best practices related to cloud contact centers and customer experience. Ensure compliance with industry standards and best practices. Analyze test results and provide detailed reports on findings. Participate in agile ceremonies, providing input on quality assurance processes Provide effective real time demonstrations of CCaaS & AI (Bots) platforms Run and execute complete User Acceptance Test alongside testers Proficient in writing user stories in JIRA High proficiency in defining top notch customer facing slides/presentations Nice To Have Experience in CPaaS platforms (Twilio, Infobip) for synergies between Communication Platform As A Service & Contact Center As a Service Understanding of cloud platforms (e.g., AWS, Azure, Google Cloud) and their services for scalable data storage, processing, and analytics Work on high velocity Presales solution consulting engagements (RFP, RFI, RFQ) Define industry specific use cases (BFS & I, Telecom, Retail, Manlog etc) Defining Business Case",Associate,,,
4242412129,Business Analyst || Big 4,Impetus Career Consultants,"Delhi, India (Hybrid)",Hybrid,Full-time,,"About the job Role: Business Analyst Location: Delhi NCR Shift: UK Shift; Hybrid Role What will your day look like: Collaborate with stakeholders to gather detailed business requirements and document them comprehensively Conduct analysis to identify gaps between current processes and target state functionality Assist in maintaining the requirements traceability matrix and ensuring continuous alignment with programme objectives Foster a culture of continuous feedback, enabling stakeholders to adapt to requirements as necessary Document and maintain comprehensive requirement specifications and customisation specifications Ensure compliance documentation aligns with standards and track stakeholder sign-off and acceptance of adaptations. Experience So far: Experience in business analysis, with a focus on requirement gathering and documentation Experience with ERP and/or SAP implementation Strong understanding of change control processes and scope management Experience in finance and working across functions such as Revenue Management, Procure to Pay, Service to Cash, and Finance Management Excellent analytical and problem-solving skills Ability to work collaboratively with diverse stakeholders Experience with requirements traceability and documentation tools Good communication and interpersonal skills Ability to work under pressure and manage multiple priorities",,,,
4219032753,SDE03 - 2025 UPNG BA 1,BNP Paribas,Greater Chennai Area (On-site),On-site,Full-time,,"About the job About BNP Paribas India Solutions: Established in 2005, BNP Paribas India Solutions is a wholly owned subsidiary of BNP Paribas SA, European Union’s leading bank with an international reach. With delivery centers located in Bengaluru, Chennai and Mumbai, we are a 24x7 global delivery center. India Solutions services three business lines: Corporate and Institutional Banking, Investment Solutions and Retail Banking for BNP Paribas across the Group. Driving innovation and growth, we are harnessing the potential of over 10000 employees, to provide support and develop best-in-class solutions. About BNP Paribas Group: BNP Paribas is the European Union’s leading bank and key player in international banking. It operates in 65 countries and has nearly 185,000 employees, including more than 145,000 in Europe. The Group has key positions in its three main fields of activity: Commercial, Personal Banking & Services for the Group’s commercial & personal banking and several specialised businesses including BNP Paribas Personal Finance and Arval; Investment & Protection Services for savings, investment, and protection solutions; and Corporate & Institutional Banking, focused on corporate and institutional clients. Based on its strong diversified and integrated model, the Group helps all its clients (individuals, community associations, entrepreneurs, SMEs, corporates and institutional clients) to realize their projects through solutions spanning financing, investment, savings and protection insurance. In Europe, BNP Paribas has four domestic markets: Belgium, France, Italy, and Luxembourg. The Group is rolling out its integrated commercial & personal banking model across several Mediterranean countries, Turkey, and Eastern Europe. As a key player in international banking, the Group has leading platforms and business lines in Europe, a strong presence in the Americas as well as a solid and fast-growing business in Asia-Pacific. BNP Paribas has implemented a Corporate Social Responsibility approach in all its activities, enabling it to contribute to the construction of a sustainable future, while ensuring the Group's performance and stability Commitment to Diversity and Inclusion At BNP Paribas, we passionately embrace diversity and are committed to fostering an inclusive workplace where all employees are valued, respected and can bring their authentic selves to work. We prohibit Discrimination and Harassment of any kind and our policies promote equal employment opportunity for all employees and applicants, irrespective of, but not limited to their gender, gender identity, sex, sexual orientation, ethnicity, race, colour, national origin, age, religion, social status, mental or physical disabilities, veteran status etc. As a global Bank, we truly believe that inclusion and diversity of our teams is key to our success in serving our clients and the communities we operate in. About Business Line/Function: Under BNP Paribas IT Group, FRS is the IT framework encompassing Projects & Systems of Finance and RISK functions, with a strong focus on efficiency, proximity, agility and time-to-market. FRS is a worldwide organizational model that will contribute to tackle major challenges of the Group’s transformation of today and tomorrow, building the best offering to the Finance and Risk Community through a progressive rotation to new technologies and best practices. The FRS organization is the outcome of several convergences: between the Project & Systems teams of Group Finance, CIB Finance and RISK and their related IT teams. FRS is part of the IT Group organization (ITG in Europe and ITO overseas) with a threefold sponsorship by ITG, Finance and RISK (CIB-ITO; RISK Solutions and ITG-FIT). Job Title: Sr./Jr. Business Analyst Date: 8-Apr-25 Department: FRS Location: Mumbai/Chennai Business Line / Function: ITG Reports To: (Direct) Manager Grade: (if applicable) (Functional) Product owner Number Of Direct Reports: NA Directorship / Registration: NA Position Purpose Shared Data Ecosystem (SDE) is an ITG-FRS department hosting various applications relating to the “filière unique program” in charge of collecting Accounting and Risk data from local entities in an unique stream. The Universal Plug (UP NG application) constitutes the target entry point to feed the Shared Reporting Space for non-OFS Entities BNP Paribas Is Looking For Dynamic And Highly Motivated Individuals For The Role Of IT BA For UP NG Applications. The Person Will Be Responsible To: Analyze business needs and write business/functional requirements Explain the needs/changes required in the application to Technical Teams. Test the delivery/results built by Technical Teams. Demonstrate the results to User and work with them for closure and signoff of the requirements. Responsibilities Direct Responsibilities The Following Deliverables Are The Main Outputs Of The Previous Scope Definition In Terms Of Responsibility For The BA. It Should Be Taken Into Consideration That During Project Mode Or Accordingly To Other Recurrent Work, New Deliverables Can Be Defined. The Main Deliverables Are: Write tests cases Execute test cases Produce Functional requirements Prepare BRD and FSD document for the requirement Involvement in SIT/UAT testing Participate in designing innovative solutions align with bank’s informational architecture Root cause analysis of any production incident/defects raised by user. It is expected that he/she can ensure proper support to users of the tool, as well as providing high quality work and deliverables, on the execution of his/her job. Working knowledge in Microsoft Office Suite (Excel, PowerPoint, Word) and SharePoint Good To Have Skills SQL Experience in Finance/ Accounting domain as a Business Analyst Contributing Responsibilities Contribute to overall FRS as directed by Team and Department Management Technical & Behavioral Competencies Strong interpersonal communication (spoken and written) and Customer orientation skills Ability to simplify complex information in a clearly organized and visually interesting manner Pro-active behavior regarding the ability to work in a fast changing and demanding environment At ease with multi-tasking Strong analytical mind and problem-solving skills Ensure a high service level for all Customers of the tool Assure a high communication level with Customers and other teams Improve process that delivery users’ value Mind-set on getting better all the time, ongoing effort to improve Show the improve in the light of their efficiency effectiveness and flexibility Take pertinent proactive measures Be aligned with the BNP Values: Agility, Compliance Culture, Openness, Client Satisfaction Skills Referential Specific Qualifications (if required) Behavioural Skills: (Please select up to 4 skills) Ability to collaborate / Teamwork Attention to detail / rigor Communication skills - oral & written Client focused Transversal Skills: (Please select up to 5 skills) Ability to understand, explain and support change Analytical Ability Ability to develop and adapt a process Choose an item. Choose an item. Education Level: Bachelor Degree or equivalent Experience Level : At least 5 years",Manager,,"SQL, Excel",
4244641943,Zoho Functional Consultant/ Business Analyst,Linz Technologies,"Chennai, Tamil Nadu, India (On-site)",On-site,Full-time,standard best practiced solution for your business. Linz Technologies offer complete Business Automation for small and medium enterprises (SME's) across verticals. … show more Show more,"About the job Role & responsibilities Requirements Gathering: Collaborate with clients to understand their business processes, objectives, and challenges. Conduct in-depth requirements gathering sessions to identify their CRM and other software needs. Solution Design: Develop customised solutions using Zoho CRM and other Zoho applications to meet the client's specific business requirements. Create detailed functional and technical documentation. Configuration and Customisation: Configure and customise Zoho CRM to align with the client's business processes. This includes creating custom modules, workflows, fields, and reports. Integration: Integrate Zoho CRM with other third-party applications, ensuring seamless data flow and system interoperability. Training: Provide training and support to end-users, enabling them to effectively utilise Zoho CRM and associated applications. Testing: Conduct thorough testing of configured solutions to ensure they meet the client's requirements and are free of errors or issues. Optimisation: Continuously monitor and evaluate the performance of Zoho applications, identify areas for improvement, and implement optimisations to enhance efficiency and effectiveness. Troubleshooting: Investigate and resolve technical issues and challenges related to Zoho CRM and other Zoho applications. Client Communication: Maintain clear and open communication with clients throughout the implementation and optimisation process, providing updates and addressing their concerns. Documentation: Create and maintain detailed documentation of the Zoho CRM configuration, customisation, and processes for reference. Preferred candidate profile 0-1 Year of experience as a Functional consultant/ Business Analyst Strong English written and verbal communication skills are a must. To lead with a hands-on approach a deep dive analysis of the customers' needs and requirements. Is confident, articulate, succinct, professional and has sound judgment and critical thinking skills. Self-Motivated and Tenacious with excellent follow through skills. Ability to act independently, take initiative and drive tasks and issues to resolution. Business automation and workflow process development desirable. Prior knowledge of Any CRM or ERP or HR or Payroll is preferable. CRM / ERP software IMPLEMENTATION experience is an added advantage Job Location - Mogappair West, Chennai Time - 9AM - 6pm Face 2 Face interview Mandatory Walkin Timings - 10 AM - 4PM Walk-in details Linz Technologies Cdc 3 Office Mogappair, Chennai - 37 https://maps.app.goo.gl/k1trsWXcujdg2tFc8 Call/ Whatsapp - 9150222779 www.linztechnologies.com www.linztechnologies.in",associate,,,
4248971769,Senior Business Analyst,UPS,"Chennai, Tamil Nadu, India (Hybrid)",Hybrid,Full-time,,"About the job Avant de postuler à un emploi, sélectionnez votre langue de préférence parmi les options disponibles en haut à droite de cette page. Découvrez votre prochaine opportunité au sein d'une organisation qui compte parmi les 500 plus importantes entreprises mondiales. Envisagez des opportunités innovantes, découvrez notre culture enrichissante et travaillez avec des équipes talentueuses qui vous poussent à vous développer chaque jour. Nous savons ce qu’il faut faire pour diriger UPS vers l'avenir : des personnes passionnées dotées d’une combinaison unique de compétences. Si vous avez les qualités, de la motivation, de l'autonomie ou le leadership pour diriger des équipes, il existe des postes adaptés à vos aspirations et à vos compétences d'aujourd'hui et de demain. Fiche De Poste Job Title: Senior Business Analyst Experience Range: 8-12 Years Location: Chennai, Hybrid Employment Type: Full-Time About UPS UPS is a global leader in logistics, offering a broad range of solutions that include transportation, distribution, supply chain management, and e-commerce. Founded in 1907, UPS operates in over 220 countries and territories, delivering packages and providing specialized services worldwide. Our mission is to enable commerce by connecting people, places, and businesses, with a strong focus on sustainability and innovation. About The Role We are seeking an experienced Senior Business Analyst to join our project team EDI-OS. The primary function of the EDI-OS application is to translate application data to and from EDI standard format. EDI-OS uses IBM Transformation Extender (ITX) 9.0/10 as the data transformation engine, and ITX Advanced (ITXA) 9.0 for enveloping and de-enveloping functionality. EDI-OS translates primarily Small Package data for multiple business functions including Billing, Visibility, PLD, Brokerage/Customs and Finance. EDI (Electronic Data Interchange) is the systematic exchange of data between internal UPS applications and external customers and vendors using standard data formats such as X12 and EDIFACT. The Senior Business Analyst will play a pivotal role in bridging the gap between business stakeholders, development teams, and data engineering teams. This role involves eliciting and analyzing requirements, defining business processes, and ensuring alignment of project objectives with strategic goals. The candidate will also work closely with architects, developers, and testers to ensure comprehensive requirements coverage and successful project delivery. Key Responsibilities Primary Skills Secondary Skills Soft Skills Educational And Preferred Qualifications About the Team As a Senior Business Analyst , you will be working with a dynamic, cross-functional team that includes developers, product managers, and other quality engineers. You will be a key player in the quality assurance process, helping shape testing strategies and ensuring the delivery of high-quality web applications. Requirements Elicitation and Analysis: Gather and document business and technical requirements through stakeholder interviews, workshops, and document analysis. Analyze complex data flows and business processes to define clear and concise requirements. Create detailed requirement specifications, user stories, and acceptance criteria for both web application and data engineering components. Business Process Design and Improvement: Define and document business processes, workflows, and data models. Identify areas for process optimization and automation within web and data solutions. Collaborate with stakeholders to design solutions that align with business objectives. Stakeholder Communication and Collaboration: Serve as a liaison between business stakeholders, development teams, and data engineering teams. Facilitate communication and collaboration to ensure stakeholder alignment and understanding. Conduct requirement walkthroughs, design reviews, and user acceptance testing sessions. Solution Validation and Quality Assurance: Ensure requirements traceability throughout the project lifecycle. Validate and test solutions to ensure they meet business needs and objectives. Collaborate with QA teams to define testing strategies and acceptance criteria. Business Analysis: Requirement gathering, process modeling, and gap analysis. EDI Mapping Documentation: User stories, functional specifications, and acceptance criteria. Agile Methodologies: Experience in Agile/Scrum environments. Conversant with the Mainframe Environment – to login and look at the file layout, analyze the EDI layout mapping. Stakeholder Management: Effective communication and collaboration with cross-functional teams. Data Analysis: Ability to analyze and interpret complex data flows and business processes. Data Engineering: Understanding of data pipelines in Azure DevOps, ETL processes, and data modeling. Database - DB2 Query Languages – SQL, PL/SQL, Communication Skills: Excellent verbal and written communication for stakeholder engagement. Strong problem-solving abilities and attention to detail. Excellent communication skills, both verbal and written. Effective time management and organizational capabilities. Ability to work independently and within a collaborative team environment. Strong interpersonal skills to engage with cross-functional teams. Time management, relationship building, prioritization, Bachelor's degree in Computer Science, Engineering, Information Technology, or a related field. Relevant certifications such as: Certified Business Analysis Professional (CBAP) PMI Professional in Business Analysis (PMI-PBA) About The Team As a Senior Business Analyst , you will be working with a dynamic, cross-functional team that includes developers, product managers, and other quality engineers. You will be a key player in the quality assurance process, helping shape testing strategies and ensuring the delivery of high-quality web applications. Type De Contrat en CDI Chez UPS, égalité des chances, traitement équitable et environnement de travail inclusif sont des valeurs clefs auxquelles nous sommes attachés.",manager,,"SQL, Data Analysis",
4249000641,Senior Business Analyst,NXP Semiconductors,Greater Bengaluru Area (On-site),On-site,Full-time,,"About the job ` About the Role The NPI tracker is a tool used to monitor and manage New Product Introduction (NPI) projects, ensuring that all tasks and milestones are on track. It provides visibility into project progress, budget, customer traction, resource allocation, requirements, test results and potential risks, helping teams to make informed decisions. The Business Analyst gathers and analyzes data, identifies trends, and provide insights to support decision-making processes. The Business Analyst will work closely with various stakeholders to ensure the successful implementation and continuous improvement of the NPI tracker. The main responsibility is the development and maintenance of Power BI reports that delight users: easy to understand, showing relevant business insights that lead to action. The Business Analyst will continuously improve the quality of the dashboards and the adoption of it. The ideal candidate has a passion for data and the high tech (semiconductor) industry, is technical savvy, likes to improve continuously and has a strong drive to deliver results. Responsibilities Data Analysis: Collect, analyze, and interpret data related to R&D projects to identify trends, issues, and opportunities for improvement. Reporting: Develop and maintain standard reports and dashboards to provide visibility into project progress, risks, and performance metrics. Stakeholder Collaboration: Work with project managers, resource managers, finance & strategy managers, IT teams, and other stakeholders to gather requirements, define project scope, and ensure alignment with business objectives. Process Improvement: Identify and recommend process improvements to enhance the efficiency and effectiveness of the NPI tracker. Documentation: Create and maintain comprehensive documentation, including business requirements, process flows, and user guides. Support: Provide ongoing support and training to users of the NPI tracker, addressing any issues or questions that arise. Qualifications Master’s degree in Computer Science, Information Systems, Business Administration, or a related field Proven technical savviness and data literacy Excellent data transformation and visualization skills in Power BI Desktop, Power BI Service, Power Query and DAX Proficient in databases, ETL, SQL and data modeling Knowledge in AWS, programming languages like python is a pre Strong analytical and problem-solving skills Excellent communication and collaboration skills Affinity with high technology fast-paced, dynamic semiconductor industry Preferred Skills Understanding of program management data, e.g. project schedule, resource allocation, time writing, requirements & test data, business case data. Familiarity with data governance frameworks and methodologies Experience with agile way of working and cross-functional team environment Hands-on experience in software development best practices (CI/CD), version control, including release management, testing and documentation",manager,,"Python, SQL, Power BI, R, Data Analysis",
